	dataset	session	subject	space	type	participant_id	correlation	baseline_old	baseline_new	missing_old	missing_new
119	IBC	ses-rsvplanguage	sub-05	fs32k	CondHalf	sub-05	1.0	0.20267862080013152	0.20267862080013152	4	4
120	IBC	ses-spatialnavigation	sub-05	fs32k	CondHalf	sub-05	0.3529606158637394	0.13117659647758978	0.13117659647758975	2	2
121	IBC	ses-tom	sub-05	fs32k	CondHalf	sub-05	1.0	0.11418096654545898	0.11418096654545898	0	0
122	IBC	ses-archi	sub-06	fs32k	CondHalf	sub-06	0.9999999999999998	0.1332311404805316	0.1332311404805316	2	2
123	IBC	ses-clips4	sub-06	fs32k	CondHalf	sub-06	1.0	0.15539410083886562	0.15539410083886565	0	0
124	IBC	ses-enumeration	sub-06	fs32k	CondHalf	sub-06	1.0	0.19814545115447682	0.19814545115447682	2	2
125	IBC	ses-hcp1	sub-06	fs32k	CondHalf	sub-06	1.0	0.08669704791106483	0.08669704791106483	2	2
126	IBC	ses-hcp2	sub-06	fs32k	CondHalf	sub-06	1.0	0.08885138464651321	0.08885138464651321	0	0
127	IBC	ses-lyon1	sub-06	fs32k	CondHalf	sub-06	0.8397537610558397	0.19541392294686094	0.19541392294686094	2	2
128	IBC	ses-lyon2	sub-06	fs32k	CondHalf	sub-06	0.6381225983042051	0.16894299277710065	0.16894299277710065	0	0
129	IBC	ses-mathlang	sub-06	fs32k	CondHalf	sub-06	1.0	0.0754502483582828	0.0754502483582828	6	6
130	IBC	ses-mtt1	sub-06	fs32k	CondHalf	sub-06	1.0	0.18997613402318425	0.18997613402318425	0	0
131	IBC	ses-mtt2	sub-06	fs32k	CondHalf	sub-06	1.0	0.22593826125145924	0.22593826125145924	1	1
132	IBC	ses-preference	sub-06	fs32k	CondHalf	sub-06	1.0	0.13818681472873767	0.13818681472873767	0	0
133	IBC	ses-rsvplanguage	sub-06	fs32k	CondHalf	sub-06	1.0	0.21044210887194514	0.21044210887194514	1	1
134	IBC	ses-spatialnavigation	sub-06	fs32k	CondHalf	sub-06	0.25137940895590505	0.16857153432748737	0.16857153432748734	2	2
135	IBC	ses-tom	sub-06	fs32k	CondHalf	sub-06	0.9999999999999999	0.09284794260583541	0.09284794260583541	1	1
136	IBC	ses-archi	sub-07	fs32k	CondHalf	sub-07	0.9999999999999998	0.1271055995353907	0.1271055995353907	13	13
137	IBC	ses-clips4	sub-07	fs32k	CondHalf	sub-07	1.0	0.14719990598554858	0.1471999059855486	12	12
138	IBC	ses-enumeration	sub-07	fs32k	CondHalf	sub-07	1.0	0.17780367752982454	0.17780367752982454	14	14
139	IBC	ses-hcp1	sub-07	fs32k	CondHalf	sub-07	1.0	0.07529478052115729	0.07529478052115729	14	14
