sequence	scope	subject	step	status	elapsed_seconds	start_rss_mib	end_rss_mib	peak_rss_mib	peak_increase_mib	error
203	subject_step	121618	create_cifti	ok	1.4008671641349792	1048.28125	921.26953125	1048.28125	0.0	
204	subject_step	121618	save_cifti	ok	2.2926483750343323	921.26953125	921.26953125	921.26953125	0.0	
205	subject	121618	subject_total	ok	14.633099740371108	927.69140625	921.26953125	3118.37109375	2190.6796875	
206	subject_step	121921	load_subject_data	ok	5.136834565550089	921.26953125	918.765625	3093.703125	2172.43359375	
207	subject_step	121921	build_network_timecourse	ok	0.8409402687102556	918.765625	955.38671875	955.38671875	36.62109375	
208	subject_step	121921	connectivity_fingerprint	ok	5.271460387855768	955.38671875	1052.19921875	1805.41796875	850.03125	
209	subject_step	121921	build_output_metadata	ok	0.0209819246083498	1052.19921875	1052.19921875	1052.19921875	0.0	
210	subject_step	121921	create_cifti	ok	1.461256155744195	1052.19921875	934.609375	1052.19921875	0.0	
211	subject_step	121921	save_cifti	ok	2.0816293247044086	934.609375	934.609375	934.609375	0.0	
212	subject	121921	subject_total	ok	15.212968746200204	921.26953125	934.609375	3093.703125	2172.43359375	
213	subject_step	122317	load_subject_data	ok	4.504193924367428	934.609375	934.609375	3187.7578125	2253.1484375	
214	subject_step	122317	build_network_timecourse	ok	0.8919537886977196	934.609375	961.86328125	961.86328125	27.25390625	
215	subject_step	122317	connectivity_fingerprint	ok	5.395853294059634	961.86328125	1045.859375	1822.3359375	860.47265625	
216	subject_step	122317	build_output_metadata	ok	0.022667940706014633	1045.859375	1045.859375	1045.859375	0.0	
217	subject_step	122317	create_cifti	ok	1.3713967688381672	1045.859375	928.26953125	1045.859375	0.0	
218	subject_step	122317	save_cifti	ok	2.291326927021146	928.26953125	928.26953125	928.26953125	0.0	
219	subject	122317	subject_total	ok	14.78525753505528	934.609375	928.26953125	3187.7578125	2253.1484375	
220	subject_step	122620	load_subject_data	ok	3.9660175908356905	928.26953125	928.26953125	3113.77734375	2185.5078125	
221	subject_step	122620	build_network_timecourse	ok	0.6279178727418184	928.26953125	955.3359375	955.3359375	27.06640625	
222	subject_step	122620	connectivity_fingerprint	ok	5.384544052183628	955.3359375	1046.37109375	1799.43359375	844.09765625	
223	subject_step	122620	build_output_metadata	ok	0.053798072040081024	1046.37109375	1046.37109375	1046.37109375	0.0	
224	subject_step	122620	create_cifti	ok	1.3585744239389896	1046.37109375	928.78125	1046.37109375	0.0	
225	subject_step	122620	save_cifti	ok	2.016439914703369	928.78125	928.78125	928.78125	0.0	
226	subject	122620	subject_total	ok	13.744502743706107	928.26953125	928.78125	3113.77734375	2185.5078125	
227	subject_step	122822	load_subject_data	ok	4.248494932428002	928.78125	928.78125	3187.765625	2258.984375	
228	subject_step	122822	build_network_timecourse	ok	0.6970493048429489	928.78125	958.8203125	958.8203125	30.0390625	
229	subject_step	122822	connectivity_fingerprint	ok	5.780912881717086	958.8203125	1051.546875	1804.609375	845.7890625	
230	subject_step	122822	build_output_metadata	ok	0.06903124786913395	1051.546875	1051.546875	1051.546875	0.0	
231	subject_step	122822	create_cifti	ok	1.4682124145328999	1051.546875	928.41796875	1051.546875	0.0	
232	subject_step	122822	save_cifti	ok	2.0846623219549656	928.41796875	928.41796875	928.41796875	0.0	
233	subject	122822	subject_total	ok	14.592433148995042	928.78125	928.41796875	3187.765625	2258.984375	
234	subject_step	123521	load_subject_data	ok	4.92569125443697	928.41796875	928.41796875	3149.50390625	2221.0859375	
235	subject_step	123521	build_network_timecourse	ok	0.7112759947776794	928.41796875	958.2890625	958.2890625	29.87109375	
236	subject_step	123521	connectivity_fingerprint	ok	5.535336047410965	958.2890625	1052.26171875	1838.2734375	879.984375	
237	subject_step	123521	build_output_metadata	ok	0.026977162808179855	1052.26171875	1052.26171875	1052.26171875	0.0	
238	subject_step	123521	create_cifti	ok	1.433735577389598	1052.26171875	929.1328125	1052.26171875	0.0	
239	subject_step	123521	save_cifti	ok	2.0255013573914766	929.1328125	929.1328125	929.1328125	0.0	
240	subject	123521	subject_total	ok	15.09310945123434	928.41796875	929.1328125	3149.50390625	2221.0859375	
241	subject_step	123824	load_subject_data	ok	4.303123287856579	929.1328125	929.1328125	3186.14453125	2257.01171875	
242	subject_step	123824	build_network_timecourse	ok	0.7041328009217978	929.1328125	956.3125	956.3125	27.1796875	
243	subject_step	123824	connectivity_fingerprint	ok	5.801882175728679	956.3125	1045.4609375	1834.0546875	877.7421875	
244	subject_step	123824	build_output_metadata	ok	0.023130128160119057	1045.4609375	1045.4609375	1045.4609375	0.0	
245	subject_step	123824	create_cifti	ok	1.366863640025258	1045.4609375	927.87109375	1045.4609375	0.0	
